THE_TE_UID,TERM,TERM_GD,POS_GD,KEYWORDS_GD,INDEX_TERM,SCOPE_NOTE,SCOPE_NOTE_GD,STATUS,ORIGIN,PROPOSED,WHEN_PROPOSED,ACCEPTED,DATE_ACCEPTED,COMMENTS,LIST_UID,ENTERED_DT,ENTERED_BY,UPDATED_DT,UPDATED_BY,SYNONYMS_GD
7,APIARY,,,,Y,A place where beehives are kept.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
8,DOVECOT,,,,Y,"A house for doves and pigeons, with openings and provision inside for roosting and breeding.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
9,FARM BUILDING,,,,Y,A building or structure found on a farm. Use more specific term where known.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
10,ANIMAL SHED,,,,Y,A building in which animals are housed.,,Y,Highland/EH,,,,,,1,03/07/2006 14:26,RC_THESAURUS,31/10/2006 11:12,LEANNEM,
11,PIGGERY,,,,Y,A place where pigs are reared.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
12,PIGSTY,,,,Y,An enclosure for pigs that includes a covered pen and a yard.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
13,STABLE,,,,Y,A building in which horses are accommodated.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
14,BARN,,,,Y,"A building used primarily for the storage of hay, grain and farm equipment, or as a shelter for livestock. Use more specific type where known.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
17,THRESHING BARN,,,,Y,"A barn usually containing a single, central threshing floor.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
20,TITHE BARN,,,,Y,A large barn used to store the tithe (a tenth part of the annual produce of agriculture etc.) which was paid by the tenants of ecclesiastical lands.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,01/09/2006 11:17,ANGELAG,
21,BLACKHOUSE,,,,Y,"A dwelling comprising byre, barn and living quarters, with walls consisting of inner and outer dry stone facings with an insulating turf core.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
22,BYRE,,,,Y,A cow shed.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
24,CORN DRYING KILN,,,,Y,A kiln used for drying cereals. Use for freestanding structures only. For corn drying kilns incorporated into barns use KILN BARN.,,Y,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,13/01/2010 11:48,ANGELAG,
26,FARMHOUSE,,,,Y,The main dwelling-house attached to a farm.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
27,HAYLOFT,,,,Y,"A loft used to store hay, usually situated over a stable or barn.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
29,POULTRY HOUSE,,,,Y,A structure providing accommodation for poultry.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
30,SHEARING SHED,,,,Y,A building where sheep are shorn of their wool.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
31,SHIELING HUT,,,,Y,"A small dwelling of stone or turf, occupied on a seasonal basis by people tending animals on upland pastures.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
32,SILAGE TOWER,,,,Y,A structure for the production and storage of silage.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
34,THRESHING MILL,,,,Y,A mill which contains machinery for separating grain from chaff.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
35,GLASSHOUSE,,,,Y,"A building constructed chiefly from glass, and used to provide the conditions necessary for growing fruit, vegetables, flowers or exotic plants.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
36,AGRICULTURAL LANDSCAPE,,,,Y,A landscape containing primarily agricultural development and buildings.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
38,BEEHIVE,,,,Y,"A receptacle used as a home for bees, traditionally made of thick straw-work in the shape of a dome, but sometimes made of wood.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
41,SHOOTING BOTHY,,,,Y,A small building used by huntsmen to store equipment and as temporary lodgings.,,Y,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,27/09/2007 13:19,ANGELAG,
42,CAIRN,,,,Y,A monument featuring a bank or mound constructed primarily of stone. Use specific term where known.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
44,MARKER CAIRN,,,,Y,"A cairn of no great antiquity, erected to mark a particular spot in the landscape, often used as a marker or directional aid in upland areas.",,Y,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,23/02/2007 08:41,ANGELAG,
45,CROFT,,,,Y,A small farm or holding.,,Y,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,01/03/2007 15:11,ANGELAG,
47,CULTIVATION REMAINS,,,,Y,"Traces left by past cultivation, in the form of upstanding features, subsoil marks or cropmarks. Use more specific term where possible.",,Y,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,01/03/2007 15:20,ANGELAG,
51,CULTIVATION TERRACE,,,,Y,"A strip of land on a slope, which has built up to provide a flat surface for the cultivation of crops.",,Y,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,27/02/2007 10:15,ANGELAG,
52,LYNCHET,,,,Y,A scarp or bank defining the upper and lower boundaries of a field. Formed as a result of the gradual downhill movement of soil loosened by ploughing.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
54,RIG AND FURROW,,,,Y,"A series of ridges (rigs), separated by furrows, created by ploughing.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
57,LAZY BEDS,,,,Y,"Spade-dug cultivation ridges, often used for growing potatoes.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
58,DUNG PIT,,,,Y,A pit used for containing manure.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
59,FARMYARD,,,,Y,"A yard or enclosure attached to a farmhouse, usually surrounded by other farm buildings.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
60,FISHING SITE,,,,Y,A site with buildings and structures associated with fishing or fish farming.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
61,BAIT HOLE,,,,Y,A small rock-cut hole used to store bait whilst fishing.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,08/12/2006 13:19,ANGELAG,
62,EELHOUSE,,,,Y,A building containing a tank for the storage of eels.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
63,FISH FARM,,,,Y,"A farm with a pond, river, lake or tanks where fish are kept and bred for commercial purposes.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
64,FISH HATCHERY,,,,Y,A facility where fish fry are hatched and raised.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
65,FISHERY,,,,Y,"An area where fish are naturally present, such as part of a river.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,17/07/2007 13:45,ANGELAG,
66,FISH LADDER,,,,Y,A series of steps designed to enable fish to ascend a fall of water or a dam.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
67,FISH TRAP,,,,Y,"A device for catching fish, sometimes a fence or enclosure of stakes made in a river, harbour, etc.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
68,FISHING STATION,,,,Y,A site with buildings and structures specifically designed for the landing and initial processing of fish. Often located in a remote or inaccessible area.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
69,FISHPOND,,,,Y,"A pond used for the rearing, breeding, sorting and storing of fish.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
70,GEAR STORE,,,,Y,A building where fishing or hunting equipment is stored.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
71,NETHOUSE,,,,Y,A building where fishing nets are dried and stored.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
72,OYSTER BEDS,,,,Y,A place where oysters are bred for consumption.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
73,FOOD AND DRINK PROCESSING SITE,,,,Y,Terms included here are for small scale agricultural production.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
76,CREAMERY,,,,Y,"A site where milk is processed to produce secondary products such as cream, cheese and yogurt.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
77,DAIRY,,,,Y,"A building or group of buildings used for the making, processing, storing and selling of milk.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
78,FISH PROCESSING SITE,,,,Y,A place where fish are processed after being caught.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
79,HERRING CURING STATION,,,,Y,A purpose-built site with buildings and structures used to cure herring and other oily fish.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
81,GRANARY,,,,Y,"A building used to store grain, especially after it has been threshed or husked.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
85,HUNTING SITE,,,,Y,"Buildings, sites and structures associated with the hunting of animals.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
86,DECOY POND,,,,Y,A pond or pool with arms covered with nets into which wild birds are lured and then caught.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
87,DEER PARK,,,,Y,"A large, enclosed area where deer are kept. Used for hunting in the medieval period but now largely ornamental.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
92,PIT FALL,,,,Y,"A pit or group of pits with sharpened stakes set in the base, used to trap game.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,16/05/2007 13:29,LEANNEM,
93,ROYAL FOREST,,,,Y,"A forested area of land, set aside for the royal hunt.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
96,GROUSE BUTT,,,,Y,A low barrier behind which people can conceal themselves to shoot grouse.,,Y,Highland,,,,,,1,03/07/2006 14:26,RC_THESAURUS,30/10/2006 15:57,LEANNEM,
97,KNOCKING STONE,,,,Y,"A simple form of mortar, taking the form of a hollow or bowl cut into a large stone or boulder, used mainly for pounding grain.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,09/06/2010 12:17,LEANNEM,
99,FARM,,,,Y,"A tract of land, often including a farmhouse and ancillary buildings, used for the purpose of cultivation and the rearing of livestock, etc. Use more specific type where known.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
100,FARMSTEAD,,,,Y,A farmhouse and ancillary farm buildings forming a group.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
102,FIELD,,,,Y,Non-preferred term. Use FIELD SYSTEM.,,N,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,17/07/2007 13:41,ANGELAG,
103,STRIP FIELD,,,,Y,Non-preferred term. Use FIELD SYSTEM.,,N,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,17/07/2007 13:42,ANGELAG,
105,FIELD SYSTEM,,,,Y,"An area of land, often enclosed, used for cultivation or the grazing of livestock. Includes both single enclosures and more complex groups of fields.",,Y,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,01/03/2007 12:15,ANGELAG,
769,MALTINGS,,,,Y,"A building or group of buildings where grain is processed through germination, to produce malt.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
770,OASTHOUSE,,,,Y,"A building for the storage and drying of hops, often including a hop drying kiln. Usually built as part of a farm.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
772,DISTILLING SITE,,,,Y,"Buildings, sites and structures associated with the process of distilling.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
773,DISTILLERY,,,,Y,A complex or works where spirits are made by distillation.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
774,STILL,,,,Y,"An apparatus for distilling alcohol, often illegally.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
777,FISH CURING PLANT,,,,Y,A commercial facility where fish is cured.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
779,FISH PROCESSING FACTORY,,,,Y,A factory where fish are processed into food and other products.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
780,FISH SMOKING KILN,,,,Y,A kiln used for the hot smoking of fish.  For cold smoking use SMOKEHOUSE.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
313,TANK TRAP,,,,Y,An object or structure designed to obstruct the progress of a tank or armoured vehicle. Use more specific term where known.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
314,ANTI TANK BLOCKS,,,,Y,"Lines of concrete blocks, large and small placed on the ground to impede tanks.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
315,ANTI TANK DITCH,,,,Y,"A specifically dug ditch for anti-tank defence, detected by much sharper cut line.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,21/06/2007 11:43,ANGELAG,
316,ANTI TANK WALL,,,,Y,"A wall, often concrete, usually an extension to existing stone walls, will often have a gun loop built into it",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
317,DITCH,,,,Y,"A long, narrow channel dug in the ground, used for irrigation or drainage, as a boundary or as part of a defensive barrier.",,Y,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,21/06/2007 11:45,ANGELAG,
318,DYKE,,,,Y,A drystone or turf wall forming a linear barrier.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
319,CROSS DYKE,,,,Y,Non-preferred term. Use CROSS RIDGE DYKE.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,24/05/2010 12:20,LEANNEM,
320,ENCLOSED SETTLEMENT,,,,Y,"A site containing traces of human settlement and which has been surrounded by a bank and ditch, palisade or some other form of enclosure.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,27/05/2010 12:18,LEANNEM,
321,HILLFORT,,,,Y,Non-preferred term. Use FORT.,,N,Highland/EH,,,,,,1,03/07/2006 14:26,RC_THESAURUS,17/07/2007 14:13,ANGELAG,
324,PALISADED ENCLOSURE,,,,Y,An enclosure defined by one or more rows of closely-spaced vertical timbers embedded in a narrow foundation trench.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
325,PROMONTORY FORT,,,,Y,"A defensive enclosure created by constructing one or more lines of ramparts across a neck of land, in order to defend, or restrict access to, a spur or promontory, either inland or on the coast. Use for prehistoric and early historic sites.",,Y,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,16/07/2007 14:06,ANGELAG,
327,FORTLET,,,,Y,"A small Roman military installation, generally built as an outpost for 80 soldiers or fewer, usually defended by a single rampart and ditch, and containing accommodation for troops and officers, together with stores and ancillary buildings.",,Y,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,21/08/2007 09:42,ANGELAG,
328,FORTIFICATION,,,,Y,A work or installation with a primarily defensive purpose. Use FORT for prehistoric and early historic sites.,,Y,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,16/07/2007 13:59,ANGELAG,
329,ARTILLERY FORTIFICATION,,,,Y,A fortified structure containing purpose built emplacements for artillery pieces.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
330,BAILEY,,,,Y,"The courtyard of a castle, i.e. the area enclosed by the rampart or curtain wall. Use with wider site type where known.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
331,BARBICAN,,,,Y,"Any earthworks, walling, bastion or fortified outwork, or combination of these, generally with ditch or moat.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
332,BARMKIN,,,,Y,"A medieval  defensive enclosure, usually attached to a tower house.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
333,BASTION,,,,Y,"A flanking tower or projection from the main walls of a defensive work, from which a garrison can defend the ground in front or on the flank.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
334,BLOCKHOUSE,,,,Y,A detached fort covering a strategic point.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
336,PILLBOX,,,,Y,"An often squat building with thick, loopholed walls and a flat roof, designed to accommodate a variety of weapons, usually strategically positioned to cover a vulnerable point in a defensive system.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
338,LOOPHOLED WALL,,,,Y,A wall or section of wall with apertures designed for the firing of weapons.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
339,RAMPART,,,,Y,An earth embankment built around a site for defensive purposes.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
341,FORTIFIED HOUSE,,,,Y,A house which bears signs of fortification. These often include crenellated battlements and narrow slit-like windows.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
342,BASTLE,,,,Y,"A fortified house of two or three storeys, the lower floor being used for storage and/or to house animals and the upper floors for domestic use.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
343,PELE HOUSE,,,,Y,"An uncrenellated, strong, fortified dwelling, of between two and four storeys, built mainly from the mid 14th to the 17th century.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
345,FORTIFIED ISLAND,,,,Y,"An island, natural or partly artificial, with evidence for a defensive perimeter wall. Use more specific terms where possible.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,30/10/2006 14:50,LEANNEM,
346,FORTRESS,,,,Y,"A major fortified place, often a town, capable of containing a large force. If Roman use LEGIONARY FORTRESS.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
347,LEGIONARY FORTRESS,,,,Y,"A large, fortified permanent military base built to house a Roman legion, generally defended by at least one rampart and ditch.",,Y,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,21/08/2007 10:25,ANGELAG,
348,GUNLOOP,,,,Y,"An aperture in the wall of a castle or other defended building, allowing the firing of guns and other firearms. May be fashioned from a single block of stone.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
349,MILITARY BUILDING,,,,Y,A building of unknown purpose found at a military site. Use more specific type where known.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
350,AMMUNITION STORAGE HUT,,,,Y,"Reinforced concrete and brick structures set apart from other buildings, often with metal hoist equipment.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
476,GALLERIED DUN,,,,Y,"A building or settlement enclosure, generally circular or oval in plan, with a double-skinned dry stone wall which often contains galleries and a stairway. Usually sited in an elevated position.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
477,GLEBE,,,,Y,"A plot of land belonging, or yielding revenue, to a parish church or ecclesiastical office. Often pasture land adjacent to a church or manse.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
479,BANQUETING HALL,,,,Y,A large room or apartment intended for festive or state functions.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
480,HYPOCAUST,,,,Y,"An under-floor heating system found in Roman buildings. Hot air from a furnace was directed along passages beneath the floor created by raising it on vertical pillars, or by cutting channels into a concrete sub-floor.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
481,ICEHOUSE,,,,Y,"A semi-subterranean building used to store ice, for the preservation of fish, meat and other foods, cold drinks and medical supplies. Found in the grounds of large 19th century houses and also close to harbours used by fishing boats.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
483,LARDER,,,,Y,A store for keeping meat. Use specific term where known.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
484,DEER LARDER,,,,Y,A building providing cool conditions in which deer carcasses are hung to mature.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
485,GAME LARDER,,,,Y,A small building where game is hung and kept cool.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
486,LODGE,,,,Y,"A small building, often inhabited by a gatekeeper, gamekeeper or similar. Use specific type where known.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
489,MINERS CAMP,,,,Y,A group of buildings or structures used as temporary accommodation for miners.,,Y,,,,,,The classification of this term was altered on 29/3/2010 from DOMESTIC to DOMESTIC/WORKERS CAMP to bring it into line with other forms of temporary settlement.,1,03/07/2006 14:26,RC_THESAURUS,29/03/2010 11:44,LEANNEM,
491,ORDNANCE SURVEY CAMP,,,,Y,Non-preferred term. Use COLBY CAMP.,,N,Highland,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 09:36,ANGELAG,
492,PEAT STAND,,,,Y,A structure on which peat is dried or stored.,,Y,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,28/06/2007 13:12,ANGELAG,
493,RESIDENTIAL BUILDING,,,,Y,Buildings used as non-permanent homes.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
494,ALMSHOUSE,,,,Y,A privately funded building providing accommodation for the poor.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
496,BOTHY,,,,Y,"A small building used as temporary lodgings or shelter for farm labourers, shepherds, walkers or mountaineers. Often in an isolated location.",,Y,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,27/09/2007 13:14,ANGELAG,
498,CHILDRENS HOME,,,,Y,A place where either orphaned children or children from 'broken homes' are cared for.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
499,GUEST HALL,,,,Y,"A residence for guests, usually part of a religious house.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
500,HOSTEL,,,,Y,"A building, usually containing several dormitories, used as a cheap, short term residence.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
504,ORPHANAGE,,,,Y,An institution providing care and accommodation for orphans and abandoned children.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
691,ALUM WORKS,,,,Y,A building or group of buildings where the evaporation and crystallisation of sodium aluminium sulphate solution is carried out.,,Y,EH,,,,,,1,03/07/2006 14:26,RC_THESAURUS,08/02/2007 12:11,ANGELAG,
692,COLOURING WORKS,,,,Y,"A factory where dyes, pigments and other colouring agents are produced.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
693,DYE WORKS,,,,Y,A site used for the production of dyes.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
695,PRINTING INK FACTORY,,,,Y,A factory where inks for use in the printing industry are produced.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
696,EXPLOSIVES MANUFACTURING SITE,,,,Y,"Buildings, sites and structures associated with the production, testing and storage of explosives.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
697,BLACK POWDER WORKS,,,,Y,"A factory or complex that produces black powder, an explosive that contains potassium nitrate, sulphur and charcoal.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
698,EXPLOSIVES FACTORY,,,,Y,A building or buildings where explosives are manufactured.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
700,GUNPOWDER WORKS,,,,Y,A site used for the manufacture of gunpowder.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
701,NITROCELLULOSE FACTORY,,,,Y,"A factory where nitrocellulose, a substance used in the manufacture of explosives and propellants, is made by treating cellulose with sulphuric and nitric acids.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
702,NITROGLYCERINE WORKS,,,,Y,A works or factory where nitroglycerine is manufactured. May include several nitroglycerine hills.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
703,PENTAERYTHRITE TETRANITE PLANT,,,,Y,"A plant which manufactures pentaerythrite tetranite (PETN), a constituent of Semtex and other explosives and fuses.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
704,NITROGLYCERINE HILL,,,,Y,"A facility for producing nitroglycerine, usually part of a NITROGLYCERINE WORKS.  Nitroglycerine and waste liquids flow down hill through a sequence of separators and storage houses under gravity, because pumping nitroglycerine can cause detonation.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
705,SAFETY FUSE FACTORY,,,,Y,"A factory where safety fuses, for use with explosives, are made. Often associated with a BLACK POWDER WORKS.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
706,EXPLOSIVES STORE,,,,Y,"A building used for the storage of explosives of a non-military function, e.g. mining explosives, signal explosives etc.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
707,GUNCOTTON STORE,,,,Y,A building in which gun cotton is stored. Guncotton is a form of cellulose nitrate used as a propellant or a component of explosives.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
708,PETROCHEMICAL COMPLEX,,,,Y,"An industrial complex, with buildings and structures used to produce compounds and products from petroleum or natural gas.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
709,PIPE BRIDGE,,,,Y,"A bridge for carrying pipes between buildings or working areas, and sometimes over obstacles such as rivers, gorges etc.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,08/10/2007 10:03,ANGELAG,
710,SULPHUR STORE,,,,Y,"A building used for storing Sulphur, a chemical element used in the manufacture of matches, gunpowder and sulphuric acid. It is also used in bleaching, for vulcanizing rubber and as a disinfectant.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
711,SALT STORE,,,,Y,Buildings incorporating a high degree of protection against damp for the bulk storage of salt.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
712,CLOTHING INDUSTRY SITE,,,,Y,Buildings and sites associated with the manufacture of clothing.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
713,CLOTHING FACTORY,,,,Y,A factory or series of workshops for the manufacture of clothing.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
714,HOSIERY FACTORY,,,,Y,"A factory or works housing machinery used to produce stockings and socks, using mechanized knitting processes.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,20/04/2007 12:01,LEANNEM,
715,SHOE FACTORY,,,,Y,A factory where boots and shoes are manufactured.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1616,MASONIC HALL,,,,Y,A meeting place for freemasons.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,06/02/2009 11:34,LEANNEM,
1619,SPORTS BUILDING,,,,Y,A building in which a sport is played. Use more specific type where known.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1620,BILLIARD HALL,,,,Y,A building in which billiards is played.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1621,GRANDSTAND,,,,Y,"The principal stand at a sporting ground, e.g. at a racecourse.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1622,LEISURE CENTRE,,,,Y,A building or complex providing sports and fitness facilities to the public.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1624,SNOOKER HALL,,,,Y,A building with facilities for playing snooker.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1625,SPORTS GROUND,,,,Y,An area of prepared ground on which a sport is played. Use more specific type where known.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1627,SPORTS SITE,,,,Y,"Buildings, sites and structures associated with sporting activities.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1628,BOWLING GREEN,,,,Y,An area of closely mown lawn used for the game of bowls.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
